,INTERSECT
2769,0
826,0
244,0
2157,0
376,0
600,0
877,0
1651,0
2000,1
1825,0
2703,0
385,0
2714,0
2243,0
874,1
2419,0
3664,0
1202,0
1824,0
561,0
1041,0
1285,0
2142,0
117,0
2564,0
1567,0
265,1
34,0
2742,0
1752,0
3335,0
136,0
2268,0
1433,1
3253,0
2424,0
1224,0
2455,0
2724,0
1764,0
448,0
3707,0
1077,0
1175,0
3710,0
2493,1
3041,0
2203,1
1657,0
3317,0
3181,0
746,0
2713,0
2900,0
1875,0
6,0
137,0
3688,0
1160,0
302,1
2478,0
1915,0
3353,0
756,0
713,0
642,0
844,1
1888,0
3641,0
2522,0
153,1
199,0
174,0
1643,1
863,0
54,0
2235,0
1055,0
1294,0
2633,0
1640,0
2581,0
909,0
1664,0
3609,0
2651,0
2740,0
695,0
3316,0
2378,0
208,0
304,0
1263,0
689,0
828,0
2671,0
1738,0
906,0
1453,0
1795,0
2393,0
2151,0
872,0
1492,0
3159,0
3497,0
1687,0
571,0
2593,0
2589,0
2422,0
1445,1
1443,0
589,0
224,0
2544,0
380,1
1256,0
1123,0
3217,0
2086,0
1223,0
878,0
457,0
1465,0
2264,0
3285,0
1923,0
765,0
2113,0
601,0
3539,0
1073,0
743,0
1798,0
560,1
3661,0
963,0
2667,0
1436,0
1402,0
1729,0
547,0
76,0
2119,0
2519,1
3617,0
1192,0
2944,0
526,0
2130,1
1742,0
3292,1
527,0
1028,0
434,0
2515,0
1171,0
1526,0
3394,0
2551,0
133,0
87,0
2712,1
406,0
2916,0
341,0
3647,0
1052,0
2015,0
75,1
3190,0
3155,0
2467,0
33,0
413,1
3011,0
3563,0
1597,0
3347,0
3237,0
456,0
2735,1
3374,0
2475,0
2454,0
2928,0
1168,1
2177,0
1516,1
3722,0
3443,0
463,0
1970,0
3244,1
2977,1
100,1
1804,1
2450,1
1925,0
2925,1
140,0
2918,0
3454,0
1262,0
2116,0
3666,0
1368,0
873,0
2255,1
1178,0
910,0
3016,0
3597,0
1945,1
228,0
3669,1
959,0
2073,0
3708,1
2170,0
3634,0
852,0
3156,0
3677,0
2140,0
1700,0
792,0
2748,0
2610,0
61,1
3012,0
2975,0
2049,0
486,0
86,0
606,1
654,0
683,1
1496,0
1786,0
276,0
2603,0
3745,0
378,0
2746,0
1303,0
3459,0
1009,1
1916,0
273,0
407,1
577,1
190,0
1698,1
111,1
2412,0
530,0
1068,0
1018,0
1208,1
723,1
1633,0
3732,0
2510,0
3028,0
783,0
766,0
1787,0
1253,0
730,0
1276,0
267,1
219,1
2246,1
1902,0
3743,0
2708,1
2646,0
172,0
3479,0
3193,0
1166,0
2106,0
2732,0
2728,0
3221,0
467,0
3506,0
818,0
185,1
3639,0
1581,0
115,0
2843,1
2606,1
3504,0
460,0
1383,0
791,0
2083,0
2494,0
1452,0
1463,0
535,0
230,0
300,0
383,0
365,1
1485,0
1773,0
1389,0
2640,0
2585,0
2828,0
1982,0
2372,0
3408,0
1185,1
3033,0
3162,0
1332,0
3602,0
2188,0
1558,0
2271,1
1302,1
912,0
3560,0
2181,1
3717,0
2168,0
2079,1
2104,0
1100,0
59,1
1782,0
512,0
42,0
2608,0
1768,0
2437,0
2127,0
757,0
3059,0
1892,0
332,0
1014,0
711,0
1305,0
3258,0
1800,1
761,0
3094,0
1295,1
736,0
2416,0
3351,1
1372,0
2529,0
1619,0
2676,0
1279,0
1595,0
479,0
871,1
1287,0
3428,0
892,0
3027,0
3469,1
324,0
3493,0
941,0
2536,0
1354,0
1836,1
3477,0
2469,0
266,0
197,0
408,0
3752,0
3686,0
3234,0
691,0
3650,0
2800,1
405,1
1813,0
1631,0
1632,1
1015,0
2240,0
32,0
2521,0
3065,0
790,0
1119,0
2162,0
2791,0
811,0
2553,0
315,0
2033,0
3486,0
675,0
1709,0
2626,0
2229,0
472,0
3705,1
73,0
1685,1
716,0
3172,0
2670,1
1943,0
3533,0
270,1
114,0
89,0
488,1
587,0
2169,0
183,0
1392,0
4,0
235,0
2133,0
2965,0
1122,0
2909,0
919,0
2480,0
3604,0
3712,0
3646,1
3262,1
1922,0
3288,0
3053,0
570,0
2486,0
1296,0
808,0
1337,0
1369,0
1789,0
2679,0
2415,0
2312,0
404,0
492,1
2114,0
2110,0
3565,0
17,0
2053,0
243,0
1013,0
126,0
471,0
145,0
3625,0
3507,0
899,0
574,0
3694,0
1844,0
3476,0
842,0
676,0
3437,0
1826,0
1085,0
2195,0
12,0
3425,0
1347,0
623,0
2743,0
3441,1
3031,0
3488,0
3698,0
1546,1
2736,0
1749,0
3416,0
679,0
3379,0
1893,0
2002,0
534,0
1708,0
282,0
2387,0
3213,0
2914,0
3219,1
3060,0
2258,0
3727,0
1814,0
2077,0
763,0
3741,1
3330,0
1584,0
3273,1
2137,1
2641,0
3373,0
1054,0
1757,0
2565,0
2405,0
688,0
2403,0
1070,0
2109,0
168,0
1329,0
2019,0
1483,0
261,1
2793,0
2070,1
3548,0
1242,0
1589,0
984,0
2774,0
2801,0
1212,0
509,1
1547,1
2554,0
1776,0
1629,0
1270,1
2199,0
3307,1
2665,0
239,0
957,0
188,0
277,1
2117,0
3721,0
820,1
3699,1
931,0
1438,0
2238,0
1760,0
3240,1
2632,1
2969,0
1376,0
3246,0
1066,0
997,1
1406,1
775,0
2272,0
3022,0
2749,0
797,0
839,0
3,0
71,0
2254,1
2353,0
2295,0
1264,0
2297,0
514,1
24,0
567,0
3356,1
2206,0
57,1
2282,0
1839,0
1855,1
2721,0
1113,0
3113,1
3439,0
1441,0
2356,0
2745,0
1116,0
3364,0
1385,0
297,0
2316,0
191,0
2788,0
1810,0
773,1
2064,0
3372,0
594,0
2285,0
2499,0
2663,0
734,1
7,0
2370,0
1615,0
3341,0
2885,0
2999,0
2834,0
3384,0
883,0
2421,0
1942,0
1630,0
1143,0
2906,0
3342,1
3554,0
2602,0
1602,0
862,0
3101,0
2545,1
2523,0
1317,0
3144,0
979,0
1977,0
990,0
1761,0
996,0
1745,0
78,0
130,0
770,0
2951,0
1530,1
1365,0
2674,1
432,0
3334,0
198,0
1702,0
580,0
1309,0
1162,1
2088,0
2143,1
1063,1
1150,0
1753,0
3295,1
400,0
2024,1
3046,0
2804,0
533,0
355,0
151,0
419,0
1304,0
2777,0
684,0
3293,0
1069,0
1958,0
3761,0
2020,0
3254,0
3055,0
2559,1
3257,0
1505,1
2287,0
1817,0
2560,0
2434,0
3188,0
3320,0
3302,0
496,0
2942,0
1679,0
225,0
1280,1
2959,1
1374,0
1952,0
1467,0
1556,0
1962,0
1325,0
3503,0
2389,0
2302,0
3202,0
538,0
1551,0
1626,0
3236,0
2382,0
298,0
2881,0
104,1
234,0
3291,0
1521,0
927,0
2879,0
1930,0
1890,1
2796,0
2952,0
2629,0
2591,1
2577,0
3458,1
1807,0
2861,0
3180,0
2557,0
918,0
1950,0
928,1
659,0
810,1
3139,0
596,0
1574,0
3255,0
1697,0
2209,0
3579,0
1156,0
821,0
3751,1
1007,0
3670,1
293,0
1533,1
1985,0
2461,0
131,0
2973,0
1793,0
1791,0
1126,0
2185,1
1298,1
3177,1
3072,0
2193,0
1837,0
2167,0
2846,0
2394,0
3024,0
1086,0
1460,0
1667,0
1221,0
2432,0
438,0
945,0
1417,1
450,1
2887,1
21,0
1461,0
2087,0
2426,0
1905,0
1102,0
1218,0
781,0
1527,1
483,0
2780,0
2572,0
709,0
628,0
2776,0
1980,0
1710,0
1290,0
361,0
1250,0
876,0
1200,0
1322,0
2772,0
2920,1
2716,0
2345,0
2984,0
3118,0
2597,0
2468,0
1051,0
3606,1
2385,0
1124,0
1661,0
2820,0
3746,0
396,1
2349,0
1535,0
1400,0
2590,0
3501,0
2249,0
1167,0
1603,1
868,1
68,0
803,0
1812,1
505,0
1899,1
2710,1
2211,0
3284,0
2631,0
609,0
1187,0
1472,0
2208,0
180,0
433,0
1265,0
1129,0
3049,0
2785,1
3112,0
2391,1
762,0
30,0
1510,0
722,0
307,0
3130,0
3472,0
3614,0
2619,0
201,1
2099,1
788,0
3128,0
786,0
367,1
1860,0
2502,0
72,0
1714,0
2830,0
2661,0
329,0
470,0
1257,0
3025,0
2484,0
2939,0
3194,1
3762,0
25,1
495,0
3683,0
1763,0
1914,1
3245,0
3744,0
677,0
2682,0
2797,0
3557,0
56,0
3207,1
3537,0
1008,1
2427,0
1624,0
2375,0
178,0
1462,0
2485,0
1130,1
621,0
2953,0
490,0
603,0
2962,0
3352,1
3093,0
2731,0
3068,0
2607,0
854,1
36,0
3174,0
410,0
2897,1
2518,1
1566,0
1205,1
1482,0
2172,0
2875,1
1835,1
2466,0
269,0
1179,0
1476,0
3473,0
785,0
1109,0
161,0
458,1
237,1
1552,0
397,1
1486,0
971,1
2655,0
518,0
206,0
3164,0
2741,0
2993,0
1249,0
2685,1
1682,1
637,0
121,0
2344,1
784,1
977,0
3404,0
645,0
1616,0
1172,1
563,1
3632,0
2872,0
69,0
2512,0
3521,0
1517,0
686,0
1876,0
3672,0
3655,0
232,0
2163,0
980,0
169,0
3299,0
222,1
1087,0
2787,0
1560,1
2218,0
84,0
442,0
3319,0
3167,0
314,1
993,0
2799,0
2764,1
832,0
1479,0
3368,0
1669,0
2294,0
389,0
3550,0
1053,0
290,0
2250,0
1635,0
3151,0
127,0
308,0
132,0
968,1
3725,1
2938,1
564,0
1375,0
1734,0
3615,0
3738,0
2753,0
3665,1
2829,0
2869,1
1689,0
2121,0
2489,0
2971,1
3386,1
322,0
793,0
9,0
948,0
3382,1
3160,0
402,0
65,1
2184,0
152,1
1540,0
476,0
1536,0
2943,0
357,0
252,0
3700,0
1518,0
3558,0
2792,1
2112,0
3290,1
3463,1
3297,0
429,0
157,1
348,0
2399,1
3616,0
439,0
3624,0
1026,0
2239,0
2102,0
539,0
1672,0
2752,0
187,0
2723,0
2289,0
138,0
403,0
3008,0
3662,1
124,0
2789,0
384,0
1991,0
536,0
1133,0
1350,1
641,0
494,0
2699,0
3326,0
2719,0
3618,0
1500,0
3731,1
338,0
2913,0
975,0
1954,0
522,0
2120,0
289,1
951,0
1121,0
2398,0
2383,0
1735,0
249,0
40,0
2339,1
837,0
44,0
724,0
2453,0
1891,0
393,0
3249,0
2768,0
1992,0
2386,0
531,0
2092,0
1338,0
3057,0
1321,0
1195,0
1382,1
1639,0
1870,0
3420,0
3227,0
911,0
3756,0
902,0
1847,0
3377,0
1638,0
371,1
2226,0
714,0
1284,0
2538,1
1393,0
1363,0
3370,0
2701,0
1725,0
1912,0
2757,0
2319,0
213,0
2395,0
1863,1
2573,0
857,0
2717,0
1906,0
1663,0
3671,0
2340,1
2300,1
3015,0
1874,0
2808,0
3403,0
1444,0
2910,0
812,0
1641,1
359,0
2961,1
2537,0
3599,0
2456,0
3445,0
67,0
2032,0
2917,0
1096,0
915,0
1217,0
2706,0
3324,0
1362,0
626,1
1649,0
1576,1
680,0
1750,0
1984,0
888,0
599,0
1978,0
465,0
3001,0
1573,0
3461,0
3023,0
3080,0
2912,1
1191,0
694,1
319,0
3465,1
2750,0
2531,1
0,0
794,0
3421,0
2853,0
466,1
2043,0
3260,0
617,1
2614,0
616,1
3147,0
141,0
2174,0
3014,0
2556,0
3109,0
3589,0
3250,1
1415,0
1987,1
2592,0
705,0
3566,0
1134,0
2017,0
510,1
2845,1
1343,1
2546,0
3520,0
3218,1
879,0
1722,0
1723,0
409,0
2141,0
900,0
817,0
859,0
546,0
2366,1
1478,0
485,0
3264,0
1828,0
774,1
532,0
1118,0
1880,0
2974,0
813,0
2527,0
759,1
257,0
2165,0
3170,0
223,0
421,0
326,0
920,0
3453,0
3200,0
2970,1
3659,0
881,0
1884,1
2417,0
1988,0
1867,0
3191,0
1315,0
1361,0
795,0
3528,0
2684,0
2443,0
3573,0
2530,0
551,0
1459,0
2778,0
991,0
1754,0
3581,0
1758,0
1846,1
1095,0
2934,0
3630,0
200,0
1300,1
2866,0
3526,1
3674,1
1237,0
597,0
575,0
3165,0
318,0
3556,0
2568,0
1243,0
3208,0
542,0
1220,0
1072,0
1170,0
2652,0
2056,0
3629,0
717,0
2050,0
2343,0
1024,1
576,0
286,1
2871,0
646,1
751,0
1820,0
782,0
3535,1
446,0
1949,0
3440,1
1842,0
1726,0
3070,0
441,0
2876,0
142,0
291,1
943,0
1778,0
2883,0
1792,0
699,0
2473,0
2288,0
63,0
1688,0
2903,1
2175,0
1226,0
1956,0
3154,0
1569,0
1998,1
2659,0
2488,0
3336,1
356,0
549,0
3073,0
3595,0
1961,0
1621,0
1328,0
1502,0
3054,0
1644,1
3764,0
1468,0
1703,0
3329,0
3748,1
3492,0
440,1
2006,0
2588,0
2304,0
3367,0
3045,0
2895,0
1339,0
3758,0
1344,1
1545,1
2992,0
1537,0
2487,0
2194,0
2350,0
731,0
2034,0
2257,0
2178,1
144,0
2587,0
1779,0
1342,1
1592,0
806,0
1901,0
390,0
914,0
2506,0
1554,0
1759,0
834,0
880,0
2563,0
163,0
3189,1
336,0
1866,0
134,1
2128,0
2445,0
362,1
90,0
1378,0
95,0
2280,0
2059,0
2889,1
2576,1
1596,0
1173,0
1056,0
3267,1
2543,0
3018,0
1996,0
1900,0
1101,0
108,1
2855,0
1528,0
1969,0
1802,0
2176,0
1193,0
1701,0
1705,0
1711,0
1408,1
1142,0
1968,0
2540,0
2738,0
459,1
3418,1
1403,0
966,0
1158,1
2342,0
2807,0
3339,0
301,0
3097,1
715,0
2827,0
1225,1
3148,0
66,0
802,0
548,0
1454,0
2183,1
2991,0
3006,0
2840,0
2202,0
1125,0
558,0
502,0
2080,0
2381,0
1744,0
1474,1
2301,0
1590,0
2730,0
1312,0
412,0
985,0
2409,0
2639,0
3568,0
666,0
2966,0
3034,0
2277,0
247,1
1491,0
3212,1
1388,0
2222,1
3183,1
1490,1
3391,1
1542,0
926,0
2822,0
953,0
1228,1
3517,0
2806,0
231,0
631,1
2054,0
3007,0
2870,0
1859,0
2824,1
3182,0
1588,0
2727,0
3456,0
268,0
3728,0
3747,0
869,1
776,0
938,0
687,0
112,0
1446,0
2680,0
52,0
2100,0
2371,0
3315,0
3765,0
1198,0
2504,0
3692,0
2397,1
1908,0
1862,0
2782,0
2628,1
1955,0
217,1
1291,1
3555,1
3499,0
2303,1
2384,0
1078,0
605,1
2309,0
2660,1
226,0
1575,1
2586,0
3525,0
1327,0
1571,0
2516,1
3205,0
1425,1
639,0
147,1
2815,0
728,0
2325,0
1895,0
1746,0
2898,0
604,1
1277,1
2396,0
787,0
2596,0
1882,1
2841,0
1271,0
710,0
3137,0
3622,1
3349,0
196,0
3582,1
2908,0
1941,0
1563,0
160,0
2014,0
3757,0
2237,1
3640,1
870,0
1146,0
1972,0
210,0
673,1
455,0
2001,0
2463,0
245,1
2149,0
3584,0
1555,0
685,0
651,1
2579,1
1907,0
1924,1
1673,0
1637,0
719,0
1851,0
1057,0
1003,0
3116,0
3272,0
753,0
3344,0
1979,1
96,0
2675,0
461,1
1176,1
3685,0
1861,0
501,0
2901,0
1048,0
1582,0
264,1
3407,0
1514,0
427,0
1831,0
2196,0
838,0
1047,0
894,0
1538,0
2873,1
316,0
218,0
3713,0
831,0
3502,0
101,0
3763,0
3230,0
3175,0
3490,0
1783,0
344,1
55,0
2273,0
924,0
1898,0
2567,0
3325,0
1495,0
598,0
1634,0
2481,0
1803,0
507,0
2351,0
908,0
372,0
1918,0
2136,0
106,0
1622,1
3534,0
156,0
275,0
1887,0
2884,0
3115,0
2644,0
3378,1
1286,0
3064,1
1275,0
1647,0
2477,0
3039,0
2747,1
1660,0
2252,0
726,1
204,0
3627,0
2821,0
2186,0
3737,0
3333,0
1080,0
1138,0
2279,1
1605,0
2658,1
650,1
2958,0
3176,0
3529,0
1981,0
1858,0
2819,0
3760,0
469,0
3451,1
1611,0
339,1
3248,0
464,0
37,0
2833,1
2365,1
3611,1
2637,0
1177,1
1308,1
1391,0
1244,0
2763,0
2214,0
1827,0
3750,0
2035,0
2411,0
3166,0
625,0
2751,0
3402,0
2832,1
2950,0
166,0
2767,1
3298,0
1426,0
391,0
2179,0
1539,0
2201,0
2905,0
3071,0
768,0
3593,0
2561,0
2964,0
755,1
3197,0
2410,0
1951,1
279,0
740,0
2420,0
1012,0
444,1
1164,0
3127,0
2483,0
1926,0
1561,0
3224,0
3168,0
158,0
1025,0
2744,0
1135,0
851,1
1419,0
1480,0
2003,0
1946,0
2635,0
2766,0
2923,0
1161,0
3102,0
1840,0
607,1
2442,0
1975,0
3638,0
2978,1
1675,0
2605,0
3594,0
1583,0
1404,1
898,0
1818,0
3590,0
2360,0
1360,1
2662,1
3103,1
1099,0
649,0
2835,0
2960,1
2276,0
1993,0
1154,0
2205,0
399,0
1310,0
288,0
1405,0
2241,1
2941,0
618,1
2849,0
2948,0
732,0
913,0
2865,0
1334,0
3187,1
2107,0
1674,1
430,1
3605,1
3343,0
630,0
2215,0
240,0
578,0
92,0
3179,0
333,0
3038,0
614,0
294,1
1936,0
85,1
523,1
1580,0
2505,0
1885,0
414,0
779,0
3214,0
1919,0
1971,0
1396,0
3393,0
2673,1
2317,0
388,1
3612,0
2227,0
2368,0
2686,0
3158,0
969,1
3270,0
2192,0
3527,0
3229,1
754,0
2425,0
3569,1
1751,0
1990,0
3601,0
1031,0
2940,0
2164,0
2859,0
3100,0
590,0
462,0
79,1
665,0
1686,0
3395,0
1693,0
3572,0
636,0
2647,0
1695,0
189,0
2790,0
303,0
2812,0
2037,0
940,0
1680,0
771,0
3610,1
181,1
981,0
497,0
593,0
678,0
2851,0
1029,0
2693,1
3063,1
704,0
2839,1
2497,0
3350,0
1194,0
3658,0
1215,0
907,0
2022,0
171,0
2429,0
2932,0
2247,1
26,0
139,0
2805,0
38,0
1781,0
3413,0
165,0
2922,1
1033,0
1628,1
3642,1
2284,0
1075,0
93,1
2836,0
952,0
2013,0
2095,0
2709,0
967,0
612,0
1092,0
1370,0
998,1
3327,0
3628,0
737,0
3457,0
2406,0
2758,1
2290,0
1719,0
2726,0
3460,1
1489,0
1174,0
1210,0
2657,0
1248,0
1733,0
2989,0
2854,0
1367,0
3429,0
2514,0
2954,0
3524,0
1137,1
229,0
995,0
2535,0
2359,1
420,1
334,0
1665,0
3056,0
1600,0
3600,1
353,0
3530,0
2492,1
3304,1
1612,0
1104,1
3709,0
1067,0
162,0
146,0
3036,0
28,0
435,0
3309,1
887,0
220,1
517,0
2520,0
1103,0
3150,0
1780,0
2599,1
2135,0
1727,1
2197,0
2055,0
3279,0
720,0
1655,0
1464,0
3564,0
1437,1
3328,1
2305,0
3348,0
2217,0
847,0
3380,1
3355,1
3385,1
2705,0
3228,0
2074,0
3077,0
962,0
2115,0
1493,0
627,0
211,1
903,0
947,0
1736,0
925,0
1658,0
1397,0
2067,0
3125,0
3691,0
893,0
3766,0
1654,0
3163,0
2068,1
2283,0
3633,0
1662,0
3140,0
2598,0
3438,0
3074,0
3338,1
3289,0
3090,1
804,0
543,0
3637,1
935,0
830,0
3020,0
284,1
3110,0
1246,0
3417,0
1105,0
1484,0
216,0
917,1
449,0
1240,0
1553,1
351,1
3119,0
954,0
2439,0
214,0
3436,0
3729,0
2447,0
1666,1
632,0
415,0
2858,0
74,0
2526,0
1458,1
1515,0
1145,0
3693,0
454,0
2814,1
2882,0
2337,1
3576,0
2413,0
824,0
2155,1
3321,0
2474,0
647,0
1357,0
2355,0
1796,0
3233,0
3635,1
3323,0
102,0
2150,0
848,0
2465,0
2837,0
15,1
2352,0
3211,1
741,0
1522,0
2935,0
3303,0
128,1
1401,0
1306,1
1366,1
19,0
1120,0
2075,0
3114,1
2156,0
1233,0
3345,0
930,0
2983,0
855,1
3680,1
3496,0
2511,0
2219,1
478,0
50,0
1201,0
1159,0
2503,0
1021,0
1728,1
2060,1
482,0
1473,1
3668,1
452,1
