,VÍCTIMA
237,1.0
1863,1.0
1801,1.0
3640,1.0
3254,1.0
2033,0.0
1807,0.0
2441,0.0
1044,1.0
1639,0.0
3365,1.0
288,0.0
809,0.0
1332,0.0
244,0.0
1740,0.0
2620,0.0
1882,1.0
2815,1.0
1417,1.0
732,0.0
118,0.0
837,1.0
1728,1.0
1383,0.0
751,1.0
3118,0.0
1366,1.0
163,0.0
621,0.0
87,0.0
1688,1.0
1324,0.0
3087,1.0
881,1.0
2528,1.0
3060,0.0
3482,0.0
273,1.0
892,1.0
1578,1.0
129,0.0
2403,1.0
1494,0.0
3536,1.0
2885,0.0
2125,0.0
2481,1.0
2222,1.0
427,0.0
1475,1.0
1743,0.0
455,0.0
1234,0.0
2325,1.0
131,0.0
19,0.0
783,1.0
1088,0.0
215,0.0
2766,1.0
1002,0.0
3022,0.0
2275,1.0
3112,0.0
2581,1.0
688,1.0
1307,1.0
2106,0.0
1631,0.0
664,0.0
1656,1.0
2947,1.0
945,0.0
223,0.0
493,1.0
760,0.0
396,1.0
1323,0.0
1857,1.0
480,1.0
773,1.0
2646,0.0
2536,0.0
2630,1.0
653,0.0
2772,0.0
522,1.0
268,1.0
3547,1.0
2043,1.0
3522,1.0
436,1.0
2235,1.0
1738,0.0
3171,0.0
2670,1.0
482,1.0
2723,1.0
2629,0.0
3204,1.0
2345,0.0
567,0.0
2530,0.0
3244,1.0
3033,0.0
1300,1.0
3727,1.0
2719,0.0
2548,0.0
2217,0.0
729,1.0
974,1.0
304,1.0
715,1.0
417,1.0
598,0.0
735,0.0
2664,1.0
3388,0.0
1388,0.0
234,0.0
3264,1.0
57,1.0
1299,1.0
2056,1.0
2590,1.0
1861,0.0
1818,0.0
991,0.0
633,0.0
2886,1.0
1577,0.0
1272,1.0
2550,1.0
1876,0.0
1492,1.0
3558,0.0
692,1.0
3086,1.0
3395,1.0
3190,0.0
2831,0.0
2792,1.0
3300,1.0
2923,0.0
2353,1.0
2615,1.0
1991,1.0
3651,0.0
1398,0.0
3497,1.0
608,1.0
2827,0.0
2451,0.0
1661,0.0
1412,0.0
981,1.0
1909,1.0
2144,1.0
2594,0.0
850,0.0
943,1.0
3314,1.0
764,1.0
2037,0.0
1635,0.0
1192,1.0
910,1.0
229,0.0
2452,0.0
1195,1.0
1674,1.0
1784,0.0
3020,0.0
1231,0.0
3660,1.0
2952,1.0
890,0.0
2488,0.0
1860,1.0
1129,1.0
3036,1.0
822,1.0
3506,0.0
2642,0.0
3119,0.0
2112,0.0
1691,1.0
3704,1.0
765,1.0
1657,0.0
3460,1.0
1230,0.0
3075,1.0
526,0.0
3602,1.0
2261,0.0
3639,0.0
3134,1.0
1938,0.0
2117,0.0
1934,0.0
1583,1.0
1242,0.0
1397,0.0
1575,1.0
3399,1.0
3548,0.0
3037,1.0
1016,1.0
405,1.0
3357,0.0
2015,0.0
758,1.0
3150,0.0
1100,0.0
1026,0.0
276,0.0
2807,0.0
2484,0.0
1143,0.0
907,0.0
1923,0.0
830,1.0
602,1.0
1489,0.0
936,0.0
212,1.0
2038,1.0
3198,0.0
2721,0.0
2936,1.0
508,1.0
432,1.0
2502,1.0
3546,1.0
1336,0.0
3488,0.0
1327,0.0
1245,0.0
913,0.0
1928,0.0
2060,1.0
2474,1.0
2156,0.0
2293,1.0
1992,0.0
1222,1.0
770,0.0
1827,1.0
3015,0.0
873,0.0
3192,1.0
140,0.0
2449,1.0
277,1.0
3400,1.0
2989,0.0
2765,1.0
577,1.0
1282,0.0
3378,1.0
3042,1.0
2216,0.0
1073,0.0
3076,1.0
1184,1.0
1933,1.0
681,0.0
3113,1.0
2281,1.0
2622,0.0
3685,1.0
1535,0.0
3583,0.0
2246,1.0
700,1.0
55,0.0
2394,0.0
360,0.0
2213,1.0
549,0.0
3674,1.0
2810,1.0
3708,1.0
781,0.0
3606,1.0
2557,0.0
2588,1.0
1246,0.0
673,1.0
3733,0.0
2942,0.0
2672,1.0
3762,0.0
2593,0.0
1895,1.0
3408,1.0
2511,1.0
49,1.0
559,1.0
1864,0.0
796,0.0
1930,0.0
3469,1.0
3442,1.0
3532,1.0
931,0.0
3361,0.0
1607,0.0
227,1.0
512,0.0
1006,1.0
2925,1.0
104,1.0
671,1.0
2973,0.0
2868,1.0
3196,1.0
1988,0.0
1079,1.0
2775,1.0
343,1.0
64,0.0
2498,0.0
803,1.0
1449,1.0
2168,1.0
60,1.0
2860,0.0
3527,0.0
1678,1.0
2138,1.0
2085,0.0
1571,1.0
794,1.0
2320,1.0
1039,0.0
738,1.0
1151,0.0
2844,1.0
535,1.0
2097,1.0
395,0.0
2270,0.0
2466,0.0
2335,1.0
1447,1.0
2739,0.0
3163,0.0
2064,0.0
2210,1.0
1911,0.0
767,0.0
3148,1.0
2380,0.0
2737,0.0
3071,1.0
2294,0.0
3158,0.0
195,1.0
1782,0.0
3272,1.0
2226,0.0
1790,1.0
3594,0.0
119,1.0
1120,0.0
1749,0.0
2843,1.0
2047,0.0
65,1.0
730,0.0
1095,0.0
1667,1.0
806,1.0
1708,0.0
503,1.0
3597,0.0
3659,0.0
20,0.0
2566,1.0
1671,0.0
318,1.0
124,0.0
132,1.0
1719,0.0
800,1.0
1035,1.0
3251,1.0
2880,1.0
1835,1.0
1752,0.0
2724,0.0
2135,0.0
1842,1.0
1542,1.0
2385,0.0
655,0.0
3459,1.0
885,0.0
1352,1.0
788,0.0
3326,1.0
2172,0.0
1262,1.0
230,1.0
3436,0.0
1819,1.0
1021,0.0
1107,1.0
2329,0.0
756,0.0
1875,0.0
2143,1.0
2327,0.0
2010,0.0
1278,0.0
1576,1.0
696,1.0
80,1.0
3156,1.0
2828,1.0
3271,1.0
1187,1.0
3035,1.0
1394,1.0
3010,0.0
2386,1.0
1098,0.0
3595,0.0
870,1.0
3166,0.0
1604,0.0
236,1.0
609,0.0
2079,1.0
2396,0.0
1127,0.0
1144,0.0
2357,0.0
1717,0.0
385,1.0
619,0.0
1870,0.0
3429,0.0
1892,0.0
1467,1.0
376,0.0
2608,0.0
240,0.0
792,0.0
1458,1.0
2515,0.0
1866,0.0
2063,0.0
206,0.0
444,1.0
261,1.0
3305,1.0
1943,0.0
2108,0.0
3002,0.0
725,0.0
1701,0.0
595,0.0
59,1.0
2935,1.0
72,0.0
3095,0.0
946,0.0
610,1.0
1905,0.0
2702,0.0
935,1.0
786,0.0
573,1.0
2912,1.0
127,0.0
861,0.0
1859,1.0
983,0.0
3451,1.0
1642,1.0
3434,0.0
1029,0.0
3018,0.0
1351,1.0
3228,0.0
2280,0.0
3448,0.0
2460,0.0
543,0.0
578,1.0
52,0.0
1091,1.0
2234,1.0
2862,1.0
905,0.0
2398,0.0
782,0.0
1924,1.0
3186,1.0
1994,0.0
1515,0.0
3591,0.0
2726,0.0
413,1.0
2101,0.0
2050,0.0
2995,1.0
785,1.0
3178,0.0
373,1.0
1608,1.0
2507,0.0
3756,1.0
2605,1.0
220,1.0
1004,0.0
821,1.0
1953,0.0
2428,0.0
1637,0.0
3217,1.0
378,1.0
145,0.0
1063,1.0
3614,1.0
2078,0.0
2603,0.0
359,0.0
869,1.0
3681,0.0
2657,1.0
2068,1.0
2486,1.0
2276,0.0
2658,1.0
3355,1.0
1054,0.0
2244,1.0
2175,0.0
1228,1.0
3032,1.0
1850,0.0
2612,0.0
1962,0.0
1978,1.0
693,1.0
2635,0.0
937,0.0
498,0.0
2600,0.0
1374,1.0
3504,0.0
2611,0.0
1972,0.0
2034,0.0
3324,0.0
2851,1.0
3438,1.0
1959,1.0
853,1.0
1976,0.0
3238,0.0
519,0.0
13,1.0
2964,1.0
3078,1.0
340,1.0
2984,0.0
3269,1.0
3292,1.0
384,0.0
1298,1.0
2317,0.0
282,1.0
1869,0.0
994,0.0
1422,0.0
690,0.0
477,0.0
1033,0.0
8,1.0
1268,1.0
2663,1.0
2914,1.0
3105,0.0
2489,0.0
462,1.0
10,0.0
3709,0.0
2573,0.0
3097,1.0
1533,1.0
1634,1.0
407,1.0
2427,0.0
293,1.0
3758,0.0
579,1.0
2445,0.0
3687,0.0
591,0.0
38,1.0
2546,0.0
2170,0.0
3607,0.0
2337,1.0
3344,0.0
1257,0.0
3589,0.0
3394,0.0
2998,1.0
2539,0.0
3145,1.0
1041,0.0
1017,1.0
2413,1.0
1427,1.0
3402,0.0
3671,0.0
947,1.0
510,1.0
3174,1.0
1947,1.0
1240,0.0
3206,1.0
3237,0.0
1541,0.0
593,1.0
2727,0.0
1599,0.0
190,1.0
211,1.0
2532,1.0
3743,0.0
583,0.0
3579,0.0
2002,0.0
1768,1.0
3573,0.0
3049,0.0
218,0.0
3551,1.0
3568,0.0
3319,0.0
403,0.0
3587,0.0
137,1.0
1509,0.0
3147,0.0
1433,1.0
2623,0.0
1339,1.0
2819,0.0
1822,1.0
2433,0.0
2809,1.0
3509,0.0
245,1.0
1649,0.0
1764,0.0
352,1.0
1158,1.0
1681,1.0
2919,0.0
3495,1.0
585,0.0
775,0.0
2607,1.0
532,0.0
3374,0.0
22,1.0
1774,0.0
3139,1.0
3625,0.0
2152,0.0
3177,1.0
2431,1.0
618,1.0
1762,0.0
1825,0.0
3445,0.0
799,0.0
1654,0.0
3480,0.0
73,0.0
3592,1.0
1011,1.0
1207,1.0
3216,0.0
133,1.0
3731,1.0
3288,0.0
3749,1.0
2319,0.0
1156,0.0
1531,1.0
1660,0.0
3511,0.0
2240,0.0
3578,0.0
1551,0.0
1236,1.0
1445,1.0
604,1.0
1117,0.0
2757,0.0
162,1.0
883,0.0
3420,1.0
3099,0.0
1970,0.0
1977,0.0
1178,1.0
2506,0.0
1101,1.0
1147,0.0
249,0.0
2104,0.0
1773,0.0
43,1.0
3092,0.0
3009,0.0
623,0.0
1679,0.0
134,1.0
1618,0.0
2654,0.0
2764,1.0
1405,1.0
1396,0.0
371,1.0
325,0.0
1820,1.0
2426,1.0
1739,0.0
3563,0.0
2410,0.0
1347,0.0
2340,1.0
880,0.0
1404,1.0
1244,0.0
2659,0.0
2649,0.0
1565,0.0
660,0.0
483,0.0
2962,0.0
1954,0.0
3212,1.0
169,1.0
1152,0.0
694,1.0
3310,0.0
575,0.0
2379,0.0
915,0.0
876,1.0
2686,1.0
2057,0.0
528,0.0
2232,1.0
1191,1.0
3453,0.0
565,0.0
2350,0.0
2118,1.0
1453,0.0
1758,0.0
1761,0.0
2016,1.0
2171,0.0
1877,0.0
1052,0.0
2650,1.0
2725,0.0
3367,1.0
2446,1.0
1815,1.0
2917,1.0
1037,1.0
914,1.0
1479,0.0
1891,0.0
2884,0.0
1185,1.0
867,1.0
926,0.0
2823,1.0
106,0.0
2042,0.0
887,0.0
1305,1.0
2477,0.0
179,1.0
2268,0.0
3313,1.0
1812,1.0
1683,0.0
1284,0.0
1425,1.0
2710,1.0
1203,0.0
3074,0.0
143,1.0
2416,0.0
2338,0.0
2074,1.0
2567,0.0
1563,0.0
1464,0.0
424,1.0
446,1.0
243,0.0
2901,1.0
2185,1.0
3282,1.0
2704,0.0
1409,1.0
298,0.0
414,0.0
3689,0.0
513,0.0
344,1.0
3006,1.0
159,0.0
2558,1.0
459,1.0
1983,1.0
1331,1.0
2036,1.0
505,0.0
891,0.0
877,1.0
1106,1.0
2141,0.0
1669,1.0
1085,1.0
3722,1.0
3004,1.0
3123,1.0
1273,1.0
70,1.0
569,0.0
1005,1.0
2462,0.0
1030,1.0
2525,0.0
465,1.0
1885,0.0
1482,0.0
1165,1.0
1963,0.0
531,0.0
1925,0.0
2987,0.0
1118,0.0
3356,1.0
953,0.0
2534,0.0
1372,1.0
2638,0.0
257,0.0
842,1.0
1089,0.0
631,1.0
2894,1.0
2201,1.0
888,0.0
1,1.0
2508,0.0
2026,0.0
1792,0.0
191,0.0
158,0.0
1413,1.0
45,0.0
2163,1.0
1018,1.0
2944,1.0
155,0.0
3221,0.0
1525,1.0
1982,0.0
855,1.0
2311,0.0
3280,0.0
3286,0.0
2119,1.0
392,1.0
1937,0.0
2711,1.0
2735,1.0
198,1.0
2468,1.0
2297,1.0
356,1.0
1344,1.0
1316,1.0
3428,1.0
329,0.0
506,0.0
761,0.0
253,1.0
2692,1.0
1526,1.0
1918,1.0
209,0.0
161,0.0
2551,0.0
586,0.0
54,1.0
3654,0.0
98,1.0
2127,1.0
3666,1.0
3605,1.0
216,1.0
1068,0.0
2361,0.0
2997,1.0
1838,1.0
1201,1.0
1219,0.0
3716,1.0
1059,0.0
2599,1.0
872,0.0
1687,0.0
138,1.0
1122,1.0
263,1.0
1340,0.0
1787,0.0
889,0.0
1463,0.0
2795,0.0
2677,0.0
2116,0.0
420,1.0
422,0.0
3182,0.0
3079,1.0
1036,0.0
1460,0.0
1941,0.0
3151,1.0
2278,0.0
2888,1.0
2070,1.0
685,0.0
295,1.0
1468,0.0
1326,1.0
2768,1.0
1090,0.0
3676,1.0
62,0.0
879,0.0
2146,0.0
3347,0.0
3717,0.0
2971,1.0
2093,0.0
1115,0.0
2310,1.0
1330,0.0
390,0.0
2667,1.0
2090,0.0
313,0.0
917,1.0
3398,0.0
380,1.0
613,1.0
372,1.0
1382,1.0
1076,1.0
2509,1.0
1215,1.0
1357,0.0
3672,0.0
2708,1.0
1403,0.0
3421,1.0
3565,0.0
3138,0.0
1821,0.0
862,1.0
1146,0.0
3070,1.0
691,1.0
3737,1.0
3297,0.0
584,0.0
303,0.0
2695,1.0
15,1.0
287,0.0
1727,1.0
370,1.0
1164,0.0
1237,0.0
289,1.0
301,0.0
1113,1.0
149,1.0
3335,0.0
1183,0.0
3053,0.0
1966,1.0
645,0.0
2613,0.0
955,1.0
3728,0.0
860,0.0
2434,0.0
1592,0.0
769,0.0
3229,1.0
88,1.0
1979,1.0
1750,0.0
3094,1.0
3501,0.0
2369,1.0
1243,0.0
2062,0.0
1796,0.0
1672,0.0
2384,0.0
3172,0.0
1437,1.0
2083,0.0
2675,1.0
1266,1.0
3245,1.0
2059,1.0
2785,1.0
2604,1.0
1391,1.0
1092,0.0
89,1.0
341,1.0
1380,1.0
777,0.0
2277,0.0
2017,0.0
1697,0.0
34,0.0
817,1.0
2221,1.0
1478,1.0
3423,0.0
330,0.0
1516,1.0
2091,0.0
2943,1.0
1360,1.0
2978,1.0
2634,0.0
2475,0.0
3751,1.0
3193,0.0
1358,1.0
3194,1.0
2334,0.0
107,0.0
2202,1.0
2252,0.0
2181,1.0
1776,1.0
112,0.0
1077,0.0
152,1.0
105,1.0
2188,0.0
226,0.0
2307,1.0
3106,1.0
448,1.0
2591,1.0
1802,0.0
317,0.0
2500,1.0
487,1.0
2848,0.0
1179,1.0
221,1.0
2689,1.0
707,1.0
68,1.0
1590,1.0
859,0.0
1119,0.0
1034,1.0
440,1.0
314,1.0
2750,0.0
3521,0.0
637,0.0
3153,1.0
3668,1.0
1582,0.0
2955,0.0
2575,0.0
944,1.0
3702,0.0
100,1.0
2876,1.0
1640,0.0
3552,0.0
1524,1.0
878,0.0
2679,1.0
1646,1.0
345,0.0
2687,0.0
4,0.0
747,1.0
1505,1.0
993,0.0
225,0.0
2898,1.0
2878,1.0
217,1.0
3248,1.0
364,1.0
1407,1.0
3586,0.0
488,1.0
1711,0.0
646,1.0
2562,1.0
331,1.0
1487,0.0
2874,0.0
1086,0.0
3246,0.0
3750,0.0
1952,0.0
2777,0.0
327,1.0
3389,1.0
797,0.0
1741,0.0
1922,1.0
2288,0.0
659,0.0
530,1.0
2109,1.0
1886,0.0
2485,0.0
3203,1.0
1927,1.0
490,1.0
3140,0.0
1940,0.0
2913,1.0
2080,0.0
2287,0.0
1596,0.0
1114,0.0
3007,0.0
3465,1.0
2032,1.0
3068,1.0
66,1.0
3249,0.0
1805,1.0
1495,1.0
925,1.0
592,1.0
2684,1.0
3430,1.0
2966,1.0
1913,0.0
3040,1.0
2606,1.0
3260,1.0
1682,1.0
987,0.0
1256,0.0
2102,0.0
857,1.0
3590,0.0
3384,0.0
2129,0.0
1504,0.0
3427,1.0
1547,1.0
701,0.0
2804,0.0
896,1.0
2505,0.0
3734,1.0
1684,1.0
2946,1.0
504,0.0
1454,0.0
2578,1.0
2390,1.0
920,1.0
1548,0.0
96,1.0
2250,1.0
3328,1.0
1121,1.0
3441,1.0
2423,0.0
2336,0.0
1123,1.0
3057,0.0
3013,0.0
2760,0.0
2794,1.0
1990,0.0
1612,0.0
516,0.0
698,0.0
933,0.0
101,1.0
97,0.0
1658,0.0
1198,1.0
30,0.0
841,1.0
2253,1.0
1200,0.0
1370,0.0
778,1.0
3406,0.0
968,1.0
3376,1.0
2999,1.0
807,0.0
1919,0.0
2781,0.0
768,1.0
2982,1.0
1145,0.0
2469,1.0
3179,0.0
3447,0.0
180,1.0
1306,1.0
2915,1.0
1901,0.0
2516,1.0
548,1.0
699,0.0
3652,1.0
829,1.0
1724,0.0
1060,1.0
2409,0.0
1506,0.0
33,1.0
3336,1.0
296,1.0
1448,1.0
426,1.0
3742,0.0
3104,1.0
111,1.0
374,1.0
3351,1.0
940,0.0
2471,1.0
1910,1.0
251,1.0
2296,1.0
6,0.0
3041,0.0
2761,0.0
224,0.0
3450,0.0
952,1.0
2857,0.0
828,1.0
153,1.0
1676,1.0
3616,1.0
269,0.0
823,1.0
250,0.0
332,0.0
466,1.0
1987,1.0
1472,1.0
349,1.0
1853,1.0
2122,0.0
509,1.0
1695,1.0
2985,1.0
652,0.0
1817,1.0
2022,1.0
2072,1.0
1601,0.0
475,1.0
120,0.0
175,1.0
695,1.0
2254,1.0
2290,0.0
1441,1.0
3059,1.0
404,1.0
2166,0.0
2890,0.0
1378,0.0
3426,1.0
787,0.0
2826,0.0
78,0.0
1858,0.0
3467,1.0
275,0.0
3080,1.0
3516,1.0
2401,1.0
2934,1.0
1224,1.0
167,0.0
2749,0.0
901,1.0
3677,1.0
3757,1.0
651,1.0
205,0.0
361,1.0
2928,1.0
1315,0.0
1369,0.0
3366,0.0
630,1.0
1736,0.0
1974,1.0
1285,0.0
1131,0.0
2748,0.0
1302,1.0
3691,0.0
2889,1.0
1111,0.0
2782,1.0
3454,0.0
2291,1.0
3431,1.0
679,1.0
744,1.0
772,0.0
1975,1.0
2805,0.0
3159,0.0
3391,1.0
1056,0.0
1944,0.0
3058,1.0
2174,0.0
2400,1.0
3301,0.0
966,0.0
394,0.0
458,1.0
3710,1.0
2265,1.0
2312,0.0
171,0.0
739,1.0
1294,1.0
2694,0.0
3765,0.0
366,1.0
1058,0.0
102,1.0
281,0.0
1652,0.0
3358,0.0
1157,0.0
793,0.0
902,0.0
2272,0.0
259,1.0
1713,0.0
1507,1.0
1797,0.0
721,1.0
2545,1.0
3130,0.0
398,1.0
554,1.0
3154,1.0
3143,1.0
2493,1.0
1751,0.0
2636,0.0
1476,0.0
3655,0.0
2031,0.0
900,0.0
1712,0.0
50,0.0
204,1.0
3062,1.0
2365,1.0
1881,0.0
3471,1.0
2621,0.0
734,1.0
2377,1.0
2833,1.0
1402,1.0
2752,0.0
2698,1.0
2199,0.0
320,0.0
2358,1.0
451,1.0
1042,0.0
7,1.0
3417,1.0
1205,1.0
3377,0.0
2780,1.0
3354,0.0
3741,1.0
2758,1.0
2438,0.0
2830,0.0
3707,0.0
1829,1.0
471,0.0
852,1.0
1528,0.0
3478,1.0
1704,0.0
1202,0.0
283,1.0
3692,0.0
1271,0.0
3753,1.0
1014,1.0
450,1.0
114,1.0
2190,0.0
2092,0.0
3499,0.0
3050,0.0
1587,0.0
2046,0.0
1659,0.0
2552,1.0
1709,0.0
1486,0.0
2158,0.0
258,0.0
1920,1.0
2718,0.0
626,1.0
312,0.0
1653,1.0
431,1.0
3561,1.0
1338,1.0
2321,1.0
1346,0.0
954,0.0
977,1.0
976,0.0
1485,1.0
3403,0.0
1748,0.0
2788,1.0
1480,1.0
930,0.0
2790,0.0
3127,0.0
1585,0.0
391,0.0
2678,0.0
1439,1.0
1057,0.0
643,0.0
1209,0.0
958,1.0
1217,0.0
36,0.0
434,1.0
988,0.0
3371,1.0
762,0.0
3375,1.0
649,1.0
2356,0.0
3155,0.0
1824,0.0
1855,1.0
1342,1.0
2095,0.0
470,0.0
2159,1.0
2368,0.0
2990,1.0
2330,0.0
1177,1.0
712,0.0
813,0.0
912,0.0
176,0.0
3566,0.0
2220,0.0
1325,0.0
406,1.0
989,0.0
1840,0.0
2176,0.0
2499,1.0
2203,1.0
1197,1.0
1104,1.0
2314,1.0
1734,1.0
628,1.0
3164,0.0
184,1.0
686,0.0
3329,0.0
524,0.0
2069,0.0
2879,0.0
2922,1.0
1153,1.0
1211,0.0
979,1.0
544,0.0
1690,1.0
703,0.0
3202,1.0
1461,0.0
1488,1.0
1543,0.0
2309,1.0
1206,0.0
56,1.0
3684,0.0
2305,0.0
2464,1.0
123,0.0
1265,1.0
1703,1.0
2896,1.0
2793,1.0
3342,1.0
93,1.0
863,0.0
1174,0.0
1781,0.0
425,0.0
2180,0.0
2537,0.0
3611,1.0
1313,1.0
1050,1.0
2402,1.0
1811,0.0
2299,0.0
151,0.0
3698,1.0
2796,0.0
2333,1.0
160,1.0
3285,1.0
1826,1.0
2974,0.0
310,0.0
2407,0.0
582,1.0
1419,1.0
2544,0.0
1411,1.0
2568,0.0
835,1.0
1498,0.0
2927,0.0
534,1.0
3637,1.0
2292,0.0
3144,0.0
3259,1.0
386,0.0
1105,1.0
3596,1.0
1809,0.0
2191,1.0
1557,0.0
16,1.0
2388,1.0
3003,1.0
2881,0.0
3083,0.0
1270,1.0
3740,1.0
2669,1.0
3077,0.0
51,0.0
122,0.0
42,0.0
1872,1.0
924,0.0
1862,0.0
1297,1.0
2696,1.0
831,0.0
3661,0.0
1785,1.0
3494,0.0
1173,0.0
3102,1.0
3562,0.0
2041,0.0
2035,0.0
2596,0.0
3464,1.0
1103,0.0
168,0.0
992,0.0
125,0.0
716,0.0
898,0.0
3487,0.0
893,1.0
203,1.0
570,0.0
3318,1.0
14,1.0
2303,1.0
1176,1.0
1329,1.0
3648,1.0
1335,0.0
1650,0.0
856,1.0
2113,0.0
3129,0.0
1001,0.0
3142,1.0
1395,0.0
235,0.0
433,0.0
2420,0.0
456,0.0
354,1.0
2547,1.0
523,1.0
2882,0.0
1225,1.0
99,1.0
2740,0.0
3266,1.0
3039,1.0
1483,0.0
1823,1.0
975,0.0
588,1.0
1043,0.0
1025,0.0
1154,0.0
2986,1.0
3200,0.0
