filtered_idx,split,original_idx,V.SUM.TOTAL,P.SUM.TOTAL,y_victim,y_perpetration,y_overlap
409,train,409,0.0,0.0,0,0,0
410,train,410,0.0,0.0,0,0,0
411,train,411,0.0,0.0,0,0,0
412,train,412,4.0,1.0,1,1,1
414,train,414,6.0,1.0,1,1,1
415,train,415,2.0,0.0,1,0,0
416,train,416,1.0,0.0,1,0,0
417,train,417,0.0,0.0,0,0,0
418,train,418,0.0,0.0,0,0,0
419,train,419,0.0,0.0,0,0,0
421,train,421,3.0,1.0,1,1,1
422,train,422,6.0,0.0,1,0,0
424,train,424,0.0,0.0,0,0,0
425,train,425,0.0,0.0,0,0,0
426,train,426,7.0,0.0,1,0,0
427,train,427,7.0,1.0,1,1,1
428,train,428,1.0,0.0,1,0,0
430,train,430,0.0,0.0,0,0,0
432,train,432,3.0,0.0,1,0,0
433,train,433,3.0,0.0,1,0,0
435,train,435,0.0,0.0,0,0,0
436,train,436,5.0,2.0,1,1,1
437,train,437,0.0,0.0,0,0,0
438,train,438,0.0,0.0,0,0,0
439,train,439,0.0,0.0,0,0,0
440,train,440,1.0,1.0,1,1,1
441,train,441,0.0,0.0,0,0,0
443,train,443,14.0,1.0,1,1,1
445,train,445,1.0,0.0,1,0,0
448,train,448,3.0,0.0,1,0,0
449,train,449,3.0,1.0,1,1,1
450,train,450,10.0,0.0,1,0,0
451,train,451,3.0,0.0,1,0,0
453,train,453,0.0,0.0,0,0,0
454,train,454,4.0,0.0,1,0,0
457,train,457,4.0,1.0,1,1,1
458,train,458,6.0,0.0,1,0,0
460,train,460,0.0,2.0,0,1,0
461,train,461,5.0,3.0,1,1,1
463,train,463,0.0,0.0,0,0,0
464,train,464,5.0,0.0,1,0,0
465,train,465,2.0,1.0,1,1,1
466,train,466,2.0,1.0,1,1,1
468,train,468,0.0,0.0,0,0,0
469,train,469,3.0,0.0,1,0,0
470,train,470,0.0,0.0,0,0,0
471,train,471,4.0,0.0,1,0,0
472,train,472,0.0,0.0,0,0,0
473,train,473,3.0,2.0,1,1,1
477,train,477,0.0,0.0,0,0,0
478,train,478,0.0,0.0,0,0,0
480,train,480,0.0,0.0,0,0,0
481,train,481,11.0,5.0,1,1,1
482,train,482,11.0,2.0,1,1,1
483,train,483,2.0,0.0,1,0,0
484,train,484,6.0,1.0,1,1,1
485,train,485,1.0,0.0,1,0,0
487,train,487,0.0,0.0,0,0,0
488,train,488,2.0,0.0,1,0,0
493,train,493,0.0,0.0,0,0,0
494,train,494,0.0,0.0,0,0,0
496,train,496,4.0,1.0,1,1,1
497,train,497,1.0,0.0,1,0,0
498,train,498,1.0,0.0,1,0,0
501,train,501,0.0,0.0,0,0,0
502,train,502,0.0,0.0,0,0,0
503,train,503,4.0,0.0,1,0,0
504,train,504,1.0,0.0,1,0,0
506,train,506,0.0,0.0,0,0,0
507,train,507,0.0,0.0,0,0,0
509,train,509,0.0,0.0,0,0,0
513,train,513,3.0,0.0,1,0,0
514,train,514,2.0,0.0,1,0,0
517,train,517,8.0,0.0,1,0,0
518,train,518,0.0,0.0,0,0,0
519,train,519,0.0,0.0,0,0,0
520,train,520,2.0,0.0,1,0,0
521,train,521,0.0,0.0,0,0,0
522,train,522,2.0,0.0,1,0,0
524,train,524,0.0,0.0,0,0,0
525,train,525,0.0,0.0,0,0,0
526,train,526,3.0,0.0,1,0,0
528,train,528,0.0,0.0,0,0,0
529,train,529,0.0,0.0,0,0,0
530,train,530,0.0,0.0,0,0,0
531,train,531,2.0,0.0,1,0,0
532,train,532,4.0,0.0,1,0,0
535,train,535,4.0,1.0,1,1,1
536,train,536,0.0,0.0,0,0,0
537,train,537,0.0,0.0,0,0,0
539,train,539,1.0,0.0,1,0,0
540,train,540,8.0,2.0,1,1,1
541,train,541,2.0,1.0,1,1,1
542,train,542,0.0,0.0,0,0,0
543,train,543,0.0,0.0,0,0,0
544,train,544,6.0,0.0,1,0,0
545,train,545,0.0,0.0,0,0,0
548,train,548,2.0,0.0,1,0,0
549,train,549,4.0,0.0,1,0,0
550,train,550,9.0,2.0,1,1,1
551,train,551,0.0,0.0,0,0,0
552,train,552,0.0,0.0,0,0,0
553,train,553,0.0,0.0,0,0,0
554,train,554,11.0,2.0,1,1,1
555,train,555,0.0,0.0,0,0,0
556,train,556,0.0,0.0,0,0,0
557,train,557,5.0,0.0,1,0,0
558,train,558,1.0,0.0,1,0,0
559,train,559,0.0,0.0,0,0,0
560,train,560,0.0,0.0,0,0,0
561,train,561,0.0,0.0,0,0,0
562,train,562,2.0,0.0,1,0,0
563,train,563,2.0,0.0,1,0,0
564,train,564,1.0,0.0,1,0,0
565,train,565,0.0,0.0,0,0,0
567,train,567,1.0,0.0,1,0,0
568,train,568,2.0,1.0,1,1,1
569,train,569,2.0,1.0,1,1,1
570,train,570,1.0,0.0,1,0,0
571,train,571,0.0,0.0,0,0,0
573,train,573,1.0,0.0,1,0,0
574,train,574,0.0,0.0,0,0,0
575,train,575,2.0,0.0,1,0,0
576,train,576,1.0,0.0,1,0,0
577,train,577,0.0,0.0,0,0,0
578,train,578,1.0,0.0,1,0,0
579,train,579,0.0,0.0,0,0,0
581,train,581,1.0,0.0,1,0,0
582,train,582,1.0,0.0,1,0,0
583,train,583,3.0,0.0,1,0,0
584,train,584,1.0,2.0,1,1,1
585,train,585,6.0,0.0,1,0,0
586,train,586,3.0,0.0,1,0,0
587,train,587,1.0,1.0,1,1,1
588,train,588,3.0,2.0,1,1,1
589,train,589,3.0,0.0,1,0,0
590,train,590,2.0,0.0,1,0,0
591,train,591,8.0,2.0,1,1,1
593,train,593,0.0,0.0,0,0,0
595,train,595,0.0,0.0,0,0,0
596,train,596,0.0,2.0,0,1,0
597,train,597,0.0,0.0,0,0,0
598,train,598,0.0,0.0,0,0,0
599,train,599,0.0,2.0,0,1,0
601,train,601,7.0,1.0,1,1,1
602,train,602,0.0,0.0,0,0,0
605,train,605,1.0,1.0,1,1,1
606,train,606,1.0,0.0,1,0,0
607,train,607,6.0,0.0,1,0,0
608,train,608,0.0,0.0,0,0,0
609,train,609,4.0,1.0,1,1,1
611,train,611,0.0,0.0,0,0,0
612,train,612,0.0,0.0,0,0,0
613,train,613,0.0,0.0,0,0,0
614,train,614,0.0,0.0,0,0,0
615,train,615,0.0,0.0,0,0,0
616,train,616,1.0,0.0,1,0,0
617,train,617,0.0,0.0,0,0,0
618,train,618,1.0,0.0,1,0,0
619,train,619,0.0,0.0,0,0,0
620,train,620,2.0,0.0,1,0,0
621,train,621,2.0,0.0,1,0,0
624,train,624,0.0,0.0,0,0,0
625,train,625,0.0,0.0,0,0,0
626,train,626,0.0,1.0,0,1,0
627,train,627,0.0,0.0,0,0,0
628,train,628,3.0,0.0,1,0,0
629,train,629,0.0,0.0,0,0,0
630,train,630,3.0,0.0,1,0,0
631,train,631,1.0,0.0,1,0,0
632,train,632,4.0,2.0,1,1,1
633,train,633,4.0,4.0,1,1,1
634,train,634,1.0,1.0,1,1,1
637,train,637,0.0,0.0,0,0,0
638,train,638,0.0,1.0,0,1,0
640,train,640,1.0,0.0,1,0,0
641,train,641,0.0,0.0,0,0,0
642,train,642,0.0,0.0,0,0,0
643,train,643,1.0,1.0,1,1,1
644,train,644,0.0,0.0,0,0,0
645,train,645,2.0,0.0,1,0,0
646,train,646,6.0,1.0,1,1,1
647,train,647,2.0,1.0,1,1,1
648,train,648,7.0,1.0,1,1,1
649,train,649,0.0,0.0,0,0,0
650,train,650,0.0,0.0,0,0,0
651,train,651,0.0,0.0,0,0,0
653,train,653,0.0,0.0,0,0,0
654,train,654,0.0,0.0,0,0,0
655,train,655,3.0,1.0,1,1,1
657,train,657,0.0,0.0,0,0,0
658,train,658,2.0,1.0,1,1,1
661,train,661,0.0,0.0,0,0,0
662,train,662,5.0,0.0,1,0,0
665,train,665,0.0,0.0,0,0,0
666,train,666,4.0,0.0,1,0,0
668,train,668,0.0,0.0,0,0,0
669,train,669,0.0,1.0,0,1,0
671,train,671,0.0,1.0,0,1,0
672,train,672,0.0,0.0,0,0,0
673,train,673,0.0,0.0,0,0,0
674,train,674,1.0,0.0,1,0,0
675,train,675,0.0,0.0,0,0,0
677,train,677,0.0,0.0,0,0,0
678,train,678,7.0,1.0,1,1,1
679,train,679,1.0,0.0,1,0,0
680,train,680,1.0,0.0,1,0,0
681,train,681,1.0,0.0,1,0,0
682,train,682,2.0,0.0,1,0,0
683,train,683,10.0,1.0,1,1,1
684,train,684,1.0,1.0,1,1,1
685,train,685,0.0,1.0,0,1,0
686,train,686,0.0,0.0,0,0,0
687,train,687,0.0,0.0,0,0,0
688,train,688,0.0,0.0,0,0,0
689,train,689,1.0,2.0,1,1,1
691,train,691,0.0,0.0,0,0,0
693,train,693,0.0,0.0,0,0,0
694,train,694,0.0,0.0,0,0,0
695,train,695,0.0,0.0,0,0,0
696,train,696,0.0,0.0,0,0,0
697,train,697,0.0,0.0,0,0,0
699,train,699,0.0,0.0,0,0,0
700,train,700,1.0,0.0,1,0,0
702,train,702,1.0,1.0,1,1,1
704,train,704,3.0,2.0,1,1,1
707,train,707,0.0,0.0,0,0,0
709,train,709,1.0,0.0,1,0,0
711,train,711,0.0,0.0,0,0,0
712,train,712,0.0,0.0,0,0,0
713,train,713,1.0,0.0,1,0,0
714,train,714,1.0,0.0,1,0,0
715,train,715,0.0,0.0,0,0,0
716,train,716,0.0,0.0,0,0,0
717,train,717,1.0,0.0,1,0,0
718,train,718,1.0,1.0,1,1,1
719,train,719,0.0,0.0,0,0,0
720,train,720,0.0,0.0,0,0,0
721,train,721,0.0,0.0,0,0,0
722,train,722,0.0,0.0,0,0,0
724,train,724,4.0,0.0,1,0,0
725,train,725,1.0,0.0,1,0,0
726,train,726,1.0,0.0,1,0,0
727,train,727,0.0,0.0,0,0,0
729,train,729,2.0,0.0,1,0,0
730,train,730,1.0,0.0,1,0,0
731,train,731,1.0,0.0,1,0,0
732,train,732,1.0,0.0,1,0,0
733,train,733,6.0,4.0,1,1,1
734,train,734,7.0,0.0,1,0,0
735,train,735,4.0,1.0,1,1,1
736,train,736,2.0,1.0,1,1,1
737,train,737,0.0,0.0,0,0,0
740,train,740,0.0,0.0,0,0,0
741,train,741,1.0,0.0,1,0,0
742,train,742,2.0,0.0,1,0,0
743,train,743,0.0,0.0,0,0,0
744,train,744,1.0,0.0,1,0,0
747,train,747,4.0,0.0,1,0,0
748,train,748,3.0,0.0,1,0,0
749,train,749,0.0,2.0,0,1,0
750,train,750,0.0,0.0,0,0,0
751,train,751,0.0,0.0,0,0,0
752,train,752,0.0,1.0,0,1,0
753,train,753,0.0,0.0,0,0,0
754,train,754,4.0,0.0,1,0,0
755,train,755,2.0,0.0,1,0,0
756,train,756,0.0,0.0,0,0,0
757,train,757,0.0,0.0,0,0,0
758,train,758,1.0,0.0,1,0,0
759,train,759,0.0,0.0,0,0,0
762,train,762,0.0,0.0,0,0,0
763,train,763,6.0,2.0,1,1,1
764,train,764,0.0,0.0,0,0,0
765,train,765,0.0,1.0,0,1,0
767,train,767,0.0,0.0,0,0,0
770,train,770,0.0,0.0,0,0,0
771,train,771,0.0,0.0,0,0,0
772,train,772,0.0,0.0,0,0,0
773,train,773,2.0,0.0,1,0,0
774,train,774,5.0,2.0,1,1,1
775,train,775,0.0,0.0,0,0,0
776,train,776,1.0,0.0,1,0,0
778,train,778,6.0,0.0,1,0,0
780,train,780,5.0,0.0,1,0,0
781,train,781,0.0,0.0,0,0,0
782,train,782,9.0,0.0,1,0,0
783,train,783,0.0,0.0,0,0,0
784,train,784,2.0,0.0,1,0,0
785,train,785,9.0,0.0,1,0,0
786,train,786,2.0,0.0,1,0,0
788,train,788,5.0,0.0,1,0,0
789,train,789,5.0,0.0,1,0,0
790,train,790,7.0,1.0,1,1,1
791,train,791,0.0,0.0,0,0,0
792,train,792,3.0,0.0,1,0,0
794,train,794,7.0,0.0,1,0,0
795,train,795,0.0,0.0,0,0,0
796,train,796,2.0,0.0,1,0,0
797,train,797,3.0,2.0,1,1,1
798,train,798,1.0,0.0,1,0,0
799,train,799,0.0,0.0,0,0,0
800,train,800,2.0,0.0,1,0,0
801,train,801,7.0,1.0,1,1,1
802,train,802,2.0,1.0,1,1,1
803,train,803,2.0,2.0,1,1,1
804,train,804,0.0,0.0,0,0,0
805,train,805,0.0,0.0,0,0,0
806,train,806,0.0,1.0,0,1,0
807,train,807,1.0,0.0,1,0,0
808,train,808,1.0,0.0,1,0,0
809,train,809,2.0,0.0,1,0,0
811,train,811,0.0,0.0,0,0,0
812,train,812,1.0,0.0,1,0,0
814,train,814,0.0,0.0,0,0,0
815,train,815,0.0,0.0,0,0,0
816,train,816,0.0,0.0,0,0,0
817,train,817,2.0,1.0,1,1,1
818,train,818,2.0,1.0,1,1,1
819,train,819,0.0,0.0,0,0,0
820,train,820,0.0,0.0,0,0,0
821,train,821,1.0,3.0,1,1,1
822,train,822,0.0,0.0,0,0,0
823,train,823,4.0,2.0,1,1,1
824,train,824,0.0,0.0,0,0,0
825,train,825,0.0,0.0,0,0,0
826,train,826,0.0,0.0,0,0,0
827,train,827,0.0,0.0,0,0,0
829,train,829,3.0,1.0,1,1,1
831,train,831,0.0,0.0,0,0,0
832,train,832,0.0,0.0,0,0,0
833,train,833,0.0,0.0,0,0,0
834,train,834,1.0,0.0,1,0,0
835,train,835,3.0,0.0,1,0,0
837,train,837,0.0,0.0,0,0,0
838,train,838,0.0,0.0,0,0,0
839,train,839,3.0,0.0,1,0,0
840,train,840,3.0,0.0,1,0,0
841,train,841,6.0,0.0,1,0,0
842,train,842,0.0,0.0,0,0,0
843,train,843,0.0,0.0,0,0,0
844,train,844,0.0,0.0,0,0,0
846,train,846,0.0,0.0,0,0,0
847,train,847,2.0,0.0,1,0,0
848,train,848,0.0,0.0,0,0,0
849,train,849,0.0,0.0,0,0,0
850,train,850,3.0,0.0,1,0,0
851,train,851,0.0,0.0,0,0,0
852,train,852,0.0,0.0,0,0,0
853,train,853,8.0,0.0,1,0,0
854,train,854,0.0,0.0,0,0,0
855,train,855,1.0,0.0,1,0,0
856,train,856,0.0,0.0,0,0,0
857,train,857,2.0,1.0,1,1,1
858,train,858,0.0,0.0,0,0,0
859,train,859,0.0,0.0,0,0,0
860,train,860,0.0,0.0,0,0,0
861,train,861,0.0,0.0,0,0,0
862,train,862,0.0,0.0,0,0,0
863,train,863,0.0,0.0,0,0,0
864,train,864,2.0,0.0,1,0,0
865,train,865,2.0,0.0,1,0,0
866,train,866,1.0,0.0,1,0,0
867,train,867,4.0,1.0,1,1,1
868,train,868,1.0,0.0,1,0,0
869,train,869,6.0,1.0,1,1,1
870,train,870,1.0,0.0,1,0,0
871,train,871,0.0,0.0,0,0,0
872,train,872,2.0,0.0,1,0,0
875,train,875,2.0,0.0,1,0,0
876,train,876,1.0,0.0,1,0,0
877,train,877,1.0,0.0,1,0,0
